"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2008","European Union (current composition)","Current prices, euro per capita","Gross domestic product at market prices","26,100",""
"2008","European Union (current composition)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.1",""
"2008","European Union (without United Kingdom)","Current prices, euro per capita","Gross domestic product at market prices","25,300",""
"2008","European Union (without United Kingdom)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.3",""
"2008","European Union (15 countries)","Current prices, euro per capita","Gross domestic product at market prices","30,500",""
"2008","European Union (15 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.3",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Gross domestic product at market prices","29,600",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.1",""
"2008","Euro area (19 countries)","Current prices, euro per capita","Gross domestic product at market prices","28,900",""
"2008","Euro area (19 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.0",""
"2008","Euro area (12 countries)","Current prices, euro per capita","Gross domestic product at market prices","29,700",""
"2008","Euro area (12 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.1",""
"2008","Belgium","Current prices, euro per capita","Gross domestic product at market prices","33,100",""
"2008","Belgium","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.0",""
"2008","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","4,900",""
"2008","Bulgaria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","6.5",""
"2008","Czechia","Current prices, euro per capita","Gross domestic product at market prices","15,500",""
"2008","Czechia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.6",""
"2008","Denmark","Current prices, euro per capita","Gross domestic product at market prices","44,000",""
"2008","Denmark","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.1",""
"2008","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","31,700",""
"2008","Germany (until 1990 former territory of the FRG)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.4",""
"2008","Estonia","Current prices, euro per capita","Gross domestic product at market prices","12,300",""
"2008","Estonia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-5.1",""
"2008","Ireland","Current prices, euro per capita","Gross domestic product at market prices","41,800",""
"2008","Ireland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-6.4",""
"2008","Greece","Current prices, euro per capita","Gross domestic product at market prices","21,800",""
"2008","Greece","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.6",""
"2008","Spain","Current prices, euro per capita","Gross domestic product at market prices","24,300",""
"2008","Spain","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.5",""
"2008","France","Current prices, euro per capita","Gross domestic product at market prices","31,000",""
"2008","France","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.3",""
"2008","Croatia","Current prices, euro per capita","Gross domestic product at market prices","11,200",""
"2008","Croatia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.1","p"
"2008","Italy","Current prices, euro per capita","Gross domestic product at market prices","27,600",""
"2008","Italy","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.8",""
"2008","Cyprus","Current prices, euro per capita","Gross domestic product at market prices","24,200",""
"2008","Cyprus","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.1",""
"2008","Latvia","Current prices, euro per capita","Gross domestic product at market prices","11,200",""
"2008","Latvia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-2.5",""
"2008","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","10,200",""
"2008","Lithuania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.7",""
"2008","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","77,900",""
"2008","Luxembourg","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-3.0",""
"2008","Hungary","Current prices, euro per capita","Gross domestic product at market prices","10,800",""
"2008","Hungary","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.0",""
"2008","Malta","Current prices, euro per capita","Gross domestic product at market prices","15,000",""
"2008","Malta","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","2.7",""
"2008","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","39,400",""
"2008","Netherlands","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.8",""
"2008","Austria","Current prices, euro per capita","Gross domestic product at market prices","35,300",""
"2008","Austria","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","1.1",""
"2008","Poland","Current prices, euro per capita","Gross domestic product at market prices","9,600",""
"2008","Poland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","4.2",""
"2008","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,900",""
"2008","Portugal","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.1",""
"2008","Romania","Current prices, euro per capita","Gross domestic product at market prices","7,100",""
"2008","Romania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","10.1",""
"2008","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","18,800","b"
"2008","Slovenia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","3.1","b"
"2008","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","12,200",""
"2008","Slovakia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","5.4",""
"2008","Finland","Current prices, euro per capita","Gross domestic product at market prices","36,500",""
"2008","Finland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.3",""
"2008","Sweden","Current prices, euro per capita","Gross domestic product at market prices","38,300",""
"2008","Sweden","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.3",""
"2008","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","32,100",""
"2008","United Kingdom","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-1.2",""
"2008","Iceland","Current prices, euro per capita","Gross domestic product at market prices","34,300",""
"2008","Iceland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.6",""
"2008","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"2008","Liechtenstein","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices",":",""
"2008","Norway","Current prices, euro per capita","Gross domestic product at market prices","66,500",""
"2008","Norway","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-0.8",""
"2008","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","49,300",""
"2008","Switzerland","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","0.9",""
"2008","Former Yugoslav Republic of Macedonia, the","Current prices, euro per capita","Gross domestic product at market prices","3,300","e"
"2008","Former Yugoslav Republic of Macedonia, the","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","5.3","e"
"2008","Albania","Current prices, euro per capita","Gross domestic product at market prices","3,000",""
"2008","Albania","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","8.3",""
"2008","Serbia","Current prices, euro per capita","Gross domestic product at market prices","4,900",""
"2008","Serbia","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","6.1",""
"2009","European Union (current composition)","Current prices, euro per capita","Gross domestic product at market prices","24,500",""
"2009","European Union (current composition)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.7",""
"2009","European Union (without United Kingdom)","Current prices, euro per capita","Gross domestic product at market prices","24,100",""
"2009","European Union (without United Kingdom)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.6",""
"2009","European Union (15 countries)","Current prices, euro per capita","Gross domestic product at market prices","28,700",""
"2009","European Union (15 countries)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.8",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, euro per capita","Gross domestic product at market prices","28,200",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, percentage change on previous period, per capita","Gross domestic product at market prices","-4.8",""
"2009","Euro area (19 countries)","Current prices, euro per capita","Gross domestic product at market prices","27,800",""
