"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2011","Belgium","Current prices, euro per capita","Gross domestic product at market prices","34,500",""
"2011","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","5,600",""
"2011","Czechia","Current prices, euro per capita","Gross domestic product at market prices","15,600",""
"2011","Denmark","Current prices, euro per capita","Gross domestic product at market prices","44,500",""
"2011","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","33,700",""
"2011","Estonia","Current prices, euro per capita","Gross domestic product at market prices","12,500",""
"2011","Ireland","Current prices, euro per capita","Gross domestic product at market prices","37,400",""
"2011","Greece","Current prices, euro per capita","Gross domestic product at market prices","18,600","p"
"2011","Spain","Current prices, euro per capita","Gross domestic product at market prices","22,900",""
"2011","France","Current prices, euro per capita","Gross domestic product at market prices","31,500",""
"2011","Croatia","Current prices, euro per capita","Gross domestic product at market prices","10,500",""
"2011","Italy","Current prices, euro per capita","Gross domestic product at market prices","27,300",""
"2011","Cyprus","Current prices, euro per capita","Gross domestic product at market prices","23,200",""
"2011","Latvia","Current prices, euro per capita","Gross domestic product at market prices","9,800",""
"2011","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","10,300",""
"2011","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","83,100",""
"2011","Hungary","Current prices, euro per capita","Gross domestic product at market prices","10,200",""
"2011","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","39,000",""
"2011","Austria","Current prices, euro per capita","Gross domestic product at market prices","37,000",""
"2011","Poland","Current prices, euro per capita","Gross domestic product at market prices","9,900",""
"2011","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,700",""
"2011","Romania","Current prices, euro per capita","Gross domestic product at market prices","6,500",""
"2011","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","18,000",""
"2011","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","13,100",""
"2011","Finland","Current prices, euro per capita","Gross domestic product at market prices","36,500",""
"2011","Sweden","Current prices, euro per capita","Gross domestic product at market prices","42,900",""
"2011","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","29,900",""
"2011","Norway","Current prices, euro per capita","Gross domestic product at market prices","72,400",""
"2011","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","63,700",""
"2012","Belgium","Current prices, euro per capita","Gross domestic product at market prices","35,000",""
"2012","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","5,700",""
"2012","Czechia","Current prices, euro per capita","Gross domestic product at market prices","15,400",""
"2012","Denmark","Current prices, euro per capita","Gross domestic product at market prices","45,500",""
"2012","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","34,300",""
"2012","Estonia","Current prices, euro per capita","Gross domestic product at market prices","13,500",""
"2012","Ireland","Current prices, euro per capita","Gross domestic product at market prices","38,100",""
"2012","Greece","Current prices, euro per capita","Gross domestic product at market prices","17,300","p"
"2012","Spain","Current prices, euro per capita","Gross domestic product at market prices","22,200",""
"2012","France","Current prices, euro per capita","Gross domestic product at market prices","31,800",""
"2012","Croatia","Current prices, euro per capita","Gross domestic product at market prices","10,300",""
"2012","Italy","Current prices, euro per capita","Gross domestic product at market prices","26,700",""
"2012","Cyprus","Current prices, euro per capita","Gross domestic product at market prices","22,600",""
"2012","Latvia","Current prices, euro per capita","Gross domestic product at market prices","10,800",""
"2012","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","11,200",""
"2012","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","83,000",""
"2012","Hungary","Current prices, euro per capita","Gross domestic product at market prices","10,000",""
"2012","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","39,000",""
"2012","Austria","Current prices, euro per capita","Gross domestic product at market prices","37,800",""
"2012","Poland","Current prices, euro per capita","Gross domestic product at market prices","10,100",""
"2012","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,000",""
"2012","Romania","Current prices, euro per capita","Gross domestic product at market prices","6,600","b"
"2012","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","17,500",""
"2012","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","13,400",""
"2012","Finland","Current prices, euro per capita","Gross domestic product at market prices","36,900",""
"2012","Sweden","Current prices, euro per capita","Gross domestic product at market prices","44,500",""
"2012","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","32,800",""
"2012","Norway","Current prices, euro per capita","Gross domestic product at market prices","79,100",""
