"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Belgium","Total","Age reached during the year","Total","Number","Total","91,052",""
"2007","Belgium","Unknown","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Belgium","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Czechia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Denmark","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Estonia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Ireland","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Greece","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Spain","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","France","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Croatia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Italy","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Cyprus","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Latvia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Lithuania","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Hungary","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Malta","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Netherlands","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Austria","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Poland","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Portugal","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Romania","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Finland","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Sweden","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Norway","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Switzerland","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Turkey","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Serbia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Russia","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Africa","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Northern America","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","United States","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","Central America","Age reached during the year","Total","Number","Total",":",""
"2007","Belgium","South America","Age reached during the year","Total","Number","Total",":",""
