"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Belgium","Total","Age reached during the year","Total","Number","Total","84,148","b"
"2011","Belgium","Belgium","Age reached during the year","Total","Number","Total","0",""
"2011","Belgium","Bulgaria","Age reached during the year","Total","Number","Total","1,010",""
"2011","Belgium","Czechia","Age reached during the year","Total","Number","Total","418",""
"2011","Belgium","Denmark","Age reached during the year","Total","Number","Total","279",""
"2011","Belgium","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","4,480",""
"2011","Belgium","Estonia","Age reached during the year","Total","Number","Total","105",""
"2011","Belgium","Ireland","Age reached during the year","Total","Number","Total","323",""
"2011","Belgium","Greece","Age reached during the year","Total","Number","Total","587",""
"2011","Belgium","Spain","Age reached during the year","Total","Number","Total","3,938",""
"2011","Belgium","France","Age reached during the year","Total","Number","Total","17,002",""
"2011","Belgium","Croatia","Age reached during the year","Total","Number","Total","151",""
"2011","Belgium","Italy","Age reached during the year","Total","Number","Total","2,095",""
"2011","Belgium","Cyprus","Age reached during the year","Total","Number","Total","41",""
"2011","Belgium","Latvia","Age reached during the year","Total","Number","Total","121",""
"2011","Belgium","Lithuania","Age reached during the year","Total","Number","Total","147",""
"2011","Belgium","Luxembourg","Age reached during the year","Total","Number","Total","2,078",""
"2011","Belgium","Hungary","Age reached during the year","Total","Number","Total","580",""
"2011","Belgium","Netherlands","Age reached during the year","Total","Number","Total","7,906",""
"2011","Belgium","Austria","Age reached during the year","Total","Number","Total","408",""
"2011","Belgium","Poland","Age reached during the year","Total","Number","Total","2,220",""
"2011","Belgium","Portugal","Age reached during the year","Total","Number","Total","1,385",""
"2011","Belgium","Romania","Age reached during the year","Total","Number","Total","1,433",""
"2011","Belgium","Slovenia","Age reached during the year","Total","Number","Total","310",""
"2011","Belgium","Slovakia","Age reached during the year","Total","Number","Total","463",""
"2011","Belgium","Finland","Age reached during the year","Total","Number","Total","352",""
"2011","Belgium","Sweden","Age reached during the year","Total","Number","Total","669",""
"2011","Belgium","United Kingdom","Age reached during the year","Total","Number","Total","4,023",""
"2011","Belgium","Norway","Age reached during the year","Total","Number","Total","251",""
