"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Belgium","Total","Age reached during the year","Total","Number","Total","84,148","b"
"2011","Belgium","Total","Age reached during the year","Total","Number","Males","48,935","b"
"2011","Belgium","Total","Age reached during the year","Total","Number","Females","35,213","b"
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 19 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 19 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 19 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 20 to 24 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 20 to 24 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 20 to 24 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 25 to 29 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 25 to 29 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 25 to 29 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 30 to 34 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 30 to 34 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 30 to 34 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 35 to 39 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 35 to 39 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 35 to 39 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 40 to 44 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 40 to 44 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 40 to 44 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 45 to 49 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 45 to 49 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 45 to 49 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 50 to 54 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 50 to 54 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 50 to 54 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 55 to 59 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 55 to 59 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 55 to 59 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 60 to 64 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 60 to 64 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 60 to 64 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 19 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 19 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 19 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 20 to 24 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 20 to 24 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 20 to 24 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 25 to 29 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 25 to 29 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 25 to 29 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 30 to 34 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 30 to 34 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 30 to 34 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 35 to 39 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 35 to 39 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 35 to 39 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 40 to 44 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 40 to 44 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 40 to 44 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 45 to 49 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 45 to 49 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 45 to 49 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 50 to 54 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 50 to 54 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 50 to 54 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 55 to 59 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 55 to 59 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 55 to 59 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 60 to 64 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 60 to 64 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 60 to 64 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","Total","Number","Total","55,910","b"
"2011","Czechia","Total","Age reached during the year","Total","Number","Males","30,635",""
"2011","Czechia","Total","Age reached during the year","Total","Number","Females","25,275",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Total","4,665",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","From 15 to 19 years","Number","Total","2,552",""
"2011","Czechia","Total","Age reached during the year","From 15 to 19 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","From 15 to 19 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","From 20 to 24 years","Number","Total","9,438",""
"2011","Czechia","Total","Age reached during the year","From 20 to 24 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","From 20 to 24 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","From 25 to 29 years","Number","Total","14,019",""
"2011","Czechia","Total","Age reached during the year","From 25 to 29 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","From 25 to 29 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","From 30 to 34 years","Number","Total","10,219",""
"2011","Czechia","Total","Age reached during the year","From 30 to 34 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","From 30 to 34 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","From 35 to 39 years","Number","Total","5,721",""
"2011","Czechia","Total","Age reached during the year","From 35 to 39 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","From 35 to 39 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","From 40 to 44 years","Number","Total","3,040",""
