"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Belgium","Total","Age reached during the year","Total","Number","Total","84,148","b"
"2011","Belgium","Total","Age reached during the year","Total","Number","Males","48,935","b"
"2011","Belgium","Total","Age reached during the year","Total","Number","Females","35,213","b"
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","Total","Number","Total","55,910","b"
"2011","Czechia","Total","Age reached during the year","Total","Number","Males","30,635",""
"2011","Czechia","Total","Age reached during the year","Total","Number","Females","25,275",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Total","4,665",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Total","50,599",""
"2011","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","65 years or over","Number","Total","646",""
"2011","Czechia","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Czechia","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Total","41,593",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Males","21,528",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Females","20,065",""
"2011","Denmark","Total","Age reached during the year","Less than 15 years","Number","Total","5,101",""
"2011","Denmark","Total","Age reached during the year","Less than 15 years","Number","Males","2,567",""
"2011","Denmark","Total","Age reached during the year","Less than 15 years","Number","Females","2,534",""
"2011","Denmark","Total","Age reached during the year","From 15 to 64 years","Number","Total","35,608",""
"2011","Denmark","Total","Age reached during the year","From 15 to 64 years","Number","Males","18,488",""
"2011","Denmark","Total","Age reached during the year","From 15 to 64 years","Number","Females","17,120",""
"2011","Denmark","Total","Age reached during the year","65 years or over","Number","Total","884",""
"2011","Denmark","Total","Age reached during the year","65 years or over","Number","Males","473",""
"2011","Denmark","Total","Age reached during the year","65 years or over","Number","Females","411",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","249,045",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Males","143,426",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Females","105,619",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 15 years","Number","Total","32,874",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 15 years","Number","Males","16,786",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 15 years","Number","Females","16,088",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 64 years","Number","Total","201,645",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 64 years","Number","Males","118,283",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 64 years","Number","Females","83,362",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","65 years or over","Number","Total","14,526",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","65 years or over","Number","Males","8,357",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","65 years or over","Number","Females","6,169",""
"2011","Estonia","Total","Age reached during the year","Total","Number","Total","6,214",""
"2011","Estonia","Total","Age reached during the year","Total","Number","Males","2,937",""
"2011","Estonia","Total","Age reached during the year","Total","Number","Females","3,277",""
"2011","Estonia","Total","Age reached during the year","Less than 15 years","Number","Total","951",""
"2011","Estonia","Total","Age reached during the year","Less than 15 years","Number","Males","487",""
"2011","Estonia","Total","Age reached during the year","Less than 15 years","Number","Females","464",""
"2011","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Total","5,123",""
"2011","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Males","2,407",""
"2011","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Females","2,716",""
"2011","Estonia","Total","Age reached during the year","65 years or over","Number","Total","140",""
"2011","Estonia","Total","Age reached during the year","65 years or over","Number","Males","43",""
"2011","Estonia","Total","Age reached during the year","65 years or over","Number","Females","97",""
"2011","Ireland","Total","Age reached during the year","Total","Number","Total","83,049","b"
"2011","Ireland","Total","Age reached during the year","Total","Number","Males","45,954","b"
"2011","Ireland","Total","Age reached during the year","Total","Number","Females","37,095","b"
"2011","Ireland","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Ireland","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Ireland","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Ireland","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Ireland","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Ireland","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Greece","Total","Age reached during the year","Total","Number","Total","92,404",""
"2011","Greece","Total","Age reached during the year","Total","Number","Males","58,975",""
"2011","Greece","Total","Age reached during the year","Total","Number","Females","33,429",""
"2011","Greece","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Greece","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Greece","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Greece","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Greece","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Greece","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Spain","Total","Age reached during the year","Total","Number","Total","409,034",""
"2011","Spain","Total","Age reached during the year","Total","Number","Males","240,971",""
"2011","Spain","Total","Age reached during the year","Total","Number","Females","168,063",""
"2011","Spain","Total","Age reached during the year","Less than 15 years","Number","Total","48,829",""
"2011","Spain","Total","Age reached during the year","Less than 15 years","Number","Males","25,152",""
"2011","Spain","Total","Age reached during the year","Less than 15 years","Number","Females","23,677",""
