"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2011","Belgium","Total","Total","Total","Number","147,377","b"
"2011","Belgium","Reporting country","Total","Total","Number","13,790",""
"2011","Belgium","Foreign country","Total","Total","Number","131,846",""
"2011","Belgium","Belgium","Total","Total","Number","13,790",""
"2011","Belgium","Bulgaria","Total","Total","Number","3,952",""
"2011","Belgium","Czechia","Total","Total","Number","511",""
"2011","Belgium","Denmark","Total","Total","Number","262",""
"2011","Belgium","Germany (until 1990 former territory of the FRG)","Total","Total","Number","2,812",""
"2011","Belgium","Estonia","Total","Total","Number","147",""
"2011","Belgium","Ireland","Total","Total","Number","407",""
"2011","Belgium","Greece","Total","Total","Number","1,001",""
"2011","Belgium","Spain","Total","Total","Number","4,870",""
"2011","Belgium","France","Total","Total","Number","12,809",""
"2011","Belgium","Croatia","Total","Total","Number","168",""
"2011","Belgium","Italy","Total","Total","Number","4,289",""
"2011","Belgium","Cyprus","Total","Total","Number","31",""
"2011","Belgium","Latvia","Total","Total","Number","388",""
"2011","Belgium","Lithuania","Total","Total","Number","338",""
"2011","Belgium","Luxembourg","Total","Total","Number","229",""
"2011","Belgium","Hungary","Total","Total","Number","908",""
"2011","Belgium","Netherlands","Total","Total","Number","8,530",""
"2011","Belgium","Austria","Total","Total","Number","508",""
"2011","Belgium","Poland","Total","Total","Number","8,212",""
"2011","Belgium","Portugal","Total","Total","Number","2,829",""
"2011","Belgium","Romania","Total","Total","Number","9,903",""
"2011","Belgium","Slovenia","Total","Total","Number","117",""
"2011","Belgium","Slovakia","Total","Total","Number","693",""
"2011","Belgium","Finland","Total","Total","Number","304",""
"2011","Belgium","Sweden","Total","Total","Number","430",""
"2011","Belgium","United Kingdom","Total","Total","Number","1,863",""
"2011","Belgium","Norway","Total","Total","Number","199",""
"2011","Belgium","Switzerland","Total","Total","Number","228",""
"2011","Belgium","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","1,382",""
"2011","Belgium","Turkey","Total","Total","Number","3,164",""
"2011","Belgium","Albania","Total","Total","Number","1,575",""
"2011","Belgium","Bosnia and Herzegovina","Total","Total","Number","559",""
"2011","Belgium","Serbia","Total","Total","Number","0",""
"2011","Bulgaria","Total","Total","Total","Number",":",""
"2011","Bulgaria","Reporting country","Total","Total","Number",":",""
"2011","Bulgaria","Foreign country","Total","Total","Number",":",""
"2011","Bulgaria","Belgium","Total","Total","Number",":",""
"2011","Bulgaria","Bulgaria","Total","Total","Number",":",""
"2011","Bulgaria","Czechia","Total","Total","Number",":",""
"2011","Bulgaria","Denmark","Total","Total","Number",":",""
"2011","Bulgaria","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2011","Bulgaria","Estonia","Total","Total","Number",":",""
"2011","Bulgaria","Ireland","Total","Total","Number",":",""
"2011","Bulgaria","Greece","Total","Total","Number",":",""
"2011","Bulgaria","Spain","Total","Total","Number",":",""
"2011","Bulgaria","France","Total","Total","Number",":",""
"2011","Bulgaria","Croatia","Total","Total","Number",":",""
"2011","Bulgaria","Italy","Total","Total","Number",":",""
"2011","Bulgaria","Cyprus","Total","Total","Number",":",""
"2011","Bulgaria","Latvia","Total","Total","Number",":",""
"2011","Bulgaria","Lithuania","Total","Total","Number",":",""
"2011","Bulgaria","Luxembourg","Total","Total","Number",":",""
"2011","Bulgaria","Hungary","Total","Total","Number",":",""
"2011","Bulgaria","Netherlands","Total","Total","Number",":",""
"2011","Bulgaria","Austria","Total","Total","Number",":",""
"2011","Bulgaria","Poland","Total","Total","Number",":",""
"2011","Bulgaria","Portugal","Total","Total","Number",":",""
"2011","Bulgaria","Romania","Total","Total","Number",":",""
"2011","Bulgaria","Slovenia","Total","Total","Number",":",""
"2011","Bulgaria","Slovakia","Total","Total","Number",":",""
"2011","Bulgaria","Finland","Total","Total","Number",":",""
"2011","Bulgaria","Sweden","Total","Total","Number",":",""
"2011","Bulgaria","United Kingdom","Total","Total","Number",":",""
"2011","Bulgaria","Norway","Total","Total","Number",":",""
"2011","Bulgaria","Switzerland","Total","Total","Number",":",""
