"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Belgium","Total","Age reached during the year","Total","Number","Total","147,377","b"
"2011","Belgium","Total","Age reached during the year","Total","Number","Males","78,465","b"
"2011","Belgium","Total","Age reached during the year","Total","Number","Females","68,912","b"
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Belgium","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Bulgaria","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Czechia","Total","Age reached during the year","Total","Number","Total","27,114","b"
"2011","Czechia","Total","Age reached during the year","Total","Number","Males","14,760",""
"2011","Czechia","Total","Age reached during the year","Total","Number","Females","12,354",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Total","2,868",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Males","1,498",""
"2011","Czechia","Total","Age reached during the year","Less than 15 years","Number","Females","1,370",""
"2011","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Total","23,687",""
"2011","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Males","12,941",""
"2011","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Females","10,746",""
"2011","Czechia","Total","Age reached during the year","65 years or over","Number","Total","559",""
"2011","Czechia","Total","Age reached during the year","65 years or over","Number","Males","321",""
"2011","Czechia","Total","Age reached during the year","65 years or over","Number","Females","238",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Total","52,833",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Males","27,199",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Females","25,634",""
"2011","Denmark","Total","Age reached during the year","Less than 15 years","Number","Total","7,449",""
