"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2008","Belgium","Total","Total","Total","Number",":",""
"2008","Belgium","Reporting country","Total","Total","Number",":",""
"2008","Belgium","Foreign country","Total","Total","Number",":",""
"2008","Belgium","Unknown","Total","Total","Number",":",""
"2008","Belgium","Europe","Total","Total","Number",":",""
"2008","Belgium","Belgium","Total","Total","Number",":",""
"2008","Belgium","Bulgaria","Total","Total","Number",":",""
"2008","Belgium","Czechia","Total","Total","Number",":",""
"2008","Belgium","Denmark","Total","Total","Number",":",""
"2008","Belgium","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2008","Belgium","Estonia","Total","Total","Number",":",""
"2008","Belgium","Ireland","Total","Total","Number",":",""
"2008","Belgium","Greece","Total","Total","Number",":",""
"2008","Belgium","Spain","Total","Total","Number",":",""
"2008","Belgium","France","Total","Total","Number",":",""
"2008","Belgium","Croatia","Total","Total","Number",":",""
"2008","Belgium","Italy","Total","Total","Number",":",""
"2008","Belgium","Cyprus","Total","Total","Number",":",""
"2008","Belgium","Latvia","Total","Total","Number",":",""
"2008","Belgium","Lithuania","Total","Total","Number",":",""
"2008","Belgium","Luxembourg","Total","Total","Number",":",""
"2008","Belgium","Hungary","Total","Total","Number",":",""
"2008","Belgium","Malta","Total","Total","Number",":",""
"2008","Belgium","Netherlands","Total","Total","Number",":",""
"2008","Belgium","Austria","Total","Total","Number",":",""
"2008","Belgium","Poland","Total","Total","Number",":",""
"2008","Belgium","Portugal","Total","Total","Number",":",""
"2008","Belgium","Romania","Total","Total","Number",":",""
"2008","Belgium","Slovenia","Total","Total","Number",":",""
"2008","Belgium","Slovakia","Total","Total","Number",":",""
"2008","Belgium","Finland","Total","Total","Number",":",""
"2008","Belgium","Sweden","Total","Total","Number",":",""
"2008","Belgium","United Kingdom","Total","Total","Number",":",""
"2008","Belgium","Norway","Total","Total","Number",":",""
"2008","Belgium","Switzerland","Total","Total","Number",":",""
"2008","Belgium","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
"2008","Belgium","Albania","Total","Total","Number",":",""
"2008","Belgium","Bosnia and Herzegovina","Total","Total","Number",":",""
"2008","Belgium","Serbia","Total","Total","Number",":",""
"2008","Belgium","Africa","Total","Total","Number",":",""
"2008","Belgium","America","Total","Total","Number",":",""
"2008","Belgium","Asia","Total","Total","Number",":",""
"2008","Belgium","Oceania","Total","Total","Number",":",""
"2008","Bulgaria","Total","Total","Total","Number",":",""
"2008","Bulgaria","Reporting country","Total","Total","Number",":",""
"2008","Bulgaria","Foreign country","Total","Total","Number",":",""
"2008","Bulgaria","Unknown","Total","Total","Number",":",""
"2008","Bulgaria","Europe","Total","Total","Number",":",""
"2008","Bulgaria","Belgium","Total","Total","Number",":",""
"2008","Bulgaria","Bulgaria","Total","Total","Number",":",""
"2008","Bulgaria","Czechia","Total","Total","Number",":",""
"2008","Bulgaria","Denmark","Total","Total","Number",":",""
"2008","Bulgaria","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2008","Bulgaria","Estonia","Total","Total","Number",":",""
"2008","Bulgaria","Ireland","Total","Total","Number",":",""
"2008","Bulgaria","Greece","Total","Total","Number",":",""
"2008","Bulgaria","Spain","Total","Total","Number",":",""
"2008","Bulgaria","France","Total","Total","Number",":",""
"2008","Bulgaria","Croatia","Total","Total","Number",":",""
"2008","Bulgaria","Italy","Total","Total","Number",":",""
"2008","Bulgaria","Cyprus","Total","Total","Number",":",""
"2008","Bulgaria","Latvia","Total","Total","Number",":",""
"2008","Bulgaria","Lithuania","Total","Total","Number",":",""
"2008","Bulgaria","Luxembourg","Total","Total","Number",":",""
"2008","Bulgaria","Hungary","Total","Total","Number",":",""
"2008","Bulgaria","Malta","Total","Total","Number",":",""
"2008","Bulgaria","Netherlands","Total","Total","Number",":",""
"2008","Bulgaria","Austria","Total","Total","Number",":",""
"2008","Bulgaria","Poland","Total","Total","Number",":",""
"2008","Bulgaria","Portugal","Total","Total","Number",":",""
"2008","Bulgaria","Romania","Total","Total","Number",":",""
"2008","Bulgaria","Slovenia","Total","Total","Number",":",""
"2008","Bulgaria","Slovakia","Total","Total","Number",":",""
"2008","Bulgaria","Finland","Total","Total","Number",":",""
"2008","Bulgaria","Sweden","Total","Total","Number",":",""
"2008","Bulgaria","United Kingdom","Total","Total","Number",":",""
"2008","Bulgaria","Norway","Total","Total","Number",":",""
"2008","Bulgaria","Switzerland","Total","Total","Number",":",""
"2008","Bulgaria","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
"2008","Bulgaria","Albania","Total","Total","Number",":",""
"2008","Bulgaria","Bosnia and Herzegovina","Total","Total","Number",":",""
"2008","Bulgaria","Serbia","Total","Total","Number",":",""
"2008","Bulgaria","Africa","Total","Total","Number",":",""
"2008","Bulgaria","America","Total","Total","Number",":",""
"2008","Bulgaria","Asia","Total","Total","Number",":",""
"2008","Bulgaria","Oceania","Total","Total","Number",":",""
"2008","Denmark","Total","Total","Total","Number","57,357",""
"2008","Denmark","Reporting country","Total","Total","Number","19,851",""
"2008","Denmark","Foreign country","Total","Total","Number","37,488",""
"2008","Denmark","Unknown","Total","Total","Number","18",""
"2008","Denmark","Europe","Total","Total","Number",":",""
"2008","Denmark","Belgium","Total","Total","Number","118",""
"2008","Denmark","Bulgaria","Total","Total","Number","706",""
"2008","Denmark","Czechia","Total","Total","Number","153",""
"2008","Denmark","Denmark","Total","Total","Number","19,851",""
"2008","Denmark","Germany (until 1990 former territory of the FRG)","Total","Total","Number","3,150",""
"2008","Denmark","Estonia","Total","Total","Number","168",""
"2008","Denmark","Ireland","Total","Total","Number","94",""
"2008","Denmark","Greece","Total","Total","Number","117",""
"2008","Denmark","Spain","Total","Total","Number","512",""
"2008","Denmark","France","Total","Total","Number","676",""
"2008","Denmark","Croatia","Total","Total","Number","35",""
"2008","Denmark","Italy","Total","Total","Number","566",""
"2008","Denmark","Cyprus","Total","Total","Number","4",""
"2008","Denmark","Latvia","Total","Total","Number","451",""
"2008","Denmark","Lithuania","Total","Total","Number","1,113",""
"2008","Denmark","Luxembourg","Total","Total","Number","5",""
"2008","Denmark","Hungary","Total","Total","Number","420",""
"2008","Denmark","Malta","Total","Total","Number","8",""
"2008","Denmark","Netherlands","Total","Total","Number","408",""
"2008","Denmark","Austria","Total","Total","Number","99",""
"2008","Denmark","Poland","Total","Total","Number","6,675",""
"2008","Denmark","Portugal","Total","Total","Number","140",""
"2008","Denmark","Romania","Total","Total","Number","1,420",""
"2008","Denmark","Slovenia","Total","Total","Number","64",""
"2008","Denmark","Slovakia","Total","Total","Number","320",""
"2008","Denmark","Finland","Total","Total","Number","286",""
"2008","Denmark","Sweden","Total","Total","Number","1,281",""
"2008","Denmark","United Kingdom","Total","Total","Number","1,010",""
"2008","Denmark","Norway","Total","Total","Number","1,422",""
"2008","Denmark","Switzerland","Total","Total","Number","93",""
"2008","Denmark","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","70",""
"2008","Denmark","Albania","Total","Total","Number","23",""
"2008","Denmark","Bosnia and Herzegovina","Total","Total","Number","113",""
"2008","Denmark","Serbia","Total","Total","Number","79",""
"2008","Denmark","Africa","Total","Total","Number",":",""
"2008","Denmark","America","Total","Total","Number",":",""
"2008","Denmark","Asia","Total","Total","Number",":",""
"2008","Denmark","Oceania","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Reporting country","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Foreign country","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Unknown","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Europe","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Belgium","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Czechia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Denmark","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
